Latitude,Longitude,Stop Name,Stop Status
40.621892, -74.02854, 87 ST/4 Av, at stop
40.599333, -73.989568, 86 ST/24 AV, at stop
40.578734, -73.96799, OCEAN PY/OCEAN VIEW AV, at stop
40.604463, -73.998029, 86 ST/20 AV, at stop
40.596595, -73.985006, 86 ST/STILLWELL AV, at stop
40.577035, -73.96413, BRIGHTON BEACH AV/BRIGHTON 3 ST, at stop
40.607496, -74.003041, 86 ST/18 AV, at stop
40.60023, -73.991056, 86 ST/23 AV, approaching
40.578151, -73.94071, ORIENTAL BL/MACKENZIE ST, approaching
40.578029, -73.94186, ORIENTAL BL/KENSINGTON ST, approaching
40.590194, -73.973241, AV X/MC DONALD AV, approaching
40.578126, -73.940945, ORIENTAL BL/MACKENZIE ST, approaching
40.615208, -74.015787, 86 ST/12 AV, approaching
40.590583, -73.969744, AV X/E 1 ST, approaching
40.578119, -73.957332, BRIGHTON BEACH AV/BRIGHTON 12 ST, approaching
40.576554, -73.966358, BRIGHTON BEACH AV/OCEAN PY, approaching
40.577297, -73.968334, BRIGHTON BEACH AV/OCEAN PY, < 1 stop away
40.621299, -74.025919, 86 ST/FT HAMILTON PY, < 1 stop away
40.610311, -74.007621, 86 ST/15 AV, < 1 stop away
40.576316, -73.967755, OCEAN PY/OCEAN VIEW AV, < 1 stop away
